Louvain_Community,Louvain_Size,Best_GT_Community,GT_Size,Intersection,Precision,Recall,F1,Jaccard
82,1067,27209,44437,343,0.32146204311152765,0.007718792897810383,0.015075597749648381,0.007595048825313877
120,596,3874,20946,162,0.27181208053691275,0.007734173589229447,0.015040386222263486,0.007577174929840973
180,79,51176,10219,77,0.9746835443037974,0.007534983853606028,0.014954360069916487,0.007533509441346248
117,603,64600,53551,378,0.6268656716417911,0.00705869171444044,0.013960187613103373,0.0070291579886938415
139,358,64600,53551,355,0.9916201117318436,0.006629194599540625,0.013170342614405759,0.006628823243828659
132,445,34499,26533,171,0.3842696629213483,0.006444804582972148,0.012676996070872564,0.006378930876263663
193,51,5838,6107,39,0.7647058823529411,0.00638611429507123,0.012666450146151347,0.006373590455956856
112,647,27465,29110,185,0.28593508500772796,0.006355204397114394,0.012434049131296837,0.006255917760043284
133,408,13666,11118,70,0.1715686274509804,0.0062960964202194636,0.012146451500954362,0.006110335195530726
135,390,34499,26533,161,0.4128205128205128,0.006067915426073192,0.011960034171526204,0.006015992825648307
128,478,64600,53551,315,0.6589958158995816,0.005882243095367033,0.011660404597530956,0.005864392895706892
141,337,64600,53551,308,0.913946587537092,0.005751526582136655,0.011431116389548695,0.005748413587159388
84,1063,64600,53551,305,0.2869238005644403,0.005695505219323636,0.011169297249789432,0.005616012079029259
121,572,64600,53551,298,0.5209790209790209,0.005564788706093257,0.011011954252351127,0.005536460752438458
153,214,27465,29110,158,0.7383177570093458,0.005427688079697698,0.010776156049652161,0.005417266680381266
156,157,27465,29110,157,1.0,0.00539333562349708,0.010728807188984182,0.00539333562349708
160,148,14934,19390,95,0.6418918918918919,0.004899432697266632,0.009724639164704677,0.004886077251452965
125,548,27465,29110,128,0.23357664233576642,0.004397114393679148,0.0086317351136287,0.004334575008465967
151,236,64600,53551,229,0.9703389830508474,0.004276297361393812,0.00851506869689702,0.004275738451771911
169,113,34499,26533,108,0.9557522123893806,0.004070402894508725,0.008106282368835847,0.004069635993669455
108,715,27209,44437,176,0.24615384615384617,0.003960663411121363,0.007795889440113394,0.003913198150124511
201,43,1722,5969,22,0.5116279069767442,0.0036857094990785724,0.007318695941450432,0.003672787979966611
155,184,64600,53551,182,0.9891304347826086,0.0033986293439898416,0.006773983437238299,0.003398502418165182
144,316,64600,53551,156,0.4936708860759494,0.002913110866277007,0.00579204336606828,0.0029044329839325277
176,87,34499,26533,77,0.8850574712643678,0.0029020465081219613,0.005785123966942149,0.002900953170327393
159,149,27465,29110,82,0.5503355704697986,0.0028169014084507044,0.005605112956697085,0.0028104328752099257
181,75,34499,26533,74,0.9866666666666667,0.0027889797610522746,0.005562236921226699,0.0027888746513906686
204,36,13666,11118,31,0.8611111111111112,0.0027882712718114767,0.005558544020082482,0.0027870178908567834
211,30,51176,10219,28,0.9333333333333333,0.00273999412858401,0.00546394770221485,0.002739457978671363
119,598,27209,44437,119,0.19899665551839466,0.002677948556383194,0.0052847785056067504,0.0026493899723929112
182,71,34499,26533,69,0.971830985915493,0.0026005351826027963,0.005187189896256201,0.0026003391746749578
158,154,27465,29110,75,0.487012987012987,0.002576434215046376,0.0051257517769272825,0.002569461098358971
178,81,34499,26533,67,0.8271604938271605,0.002525157351223005,0.005034944014428496,0.0025238256676837307
173,96,34499,26533,62,0.6458333333333334,0.0023367127727735274,0.004656577415599535,0.002333722287047841
184,67,27465,29110,67,1.0,0.002301614565441429,0.004592658600952804,0.002301614565441429
186,63,34499,26533,60,0.9523809523809523,0.0022613349413937362,0.004511956685215823,0.0022610792885137173
167,126,64600,53551,117,0.9285714285714286,0.002184833149707755,0.004359409057883265,0.002184466019417476
188,62,27465,29110,62,1.0,0.0021298522844383373,0.004250651309474838,0.0021298522844383373
194,49,34499,26533,48,0.9795918367346939,0.001809067953114989,0.003611466405838538,0.0018089997738750282
200,45,34499,26533,45,1.0,0.001696001206045302,0.003386259312213108,0.001696001206045302
191,54,27465,29110,45,0.8333333333333334,0.0015458605290278255,0.0030859964339596765,0.0015453827397918884
203,39,7583,26967,38,0.9743589743589743,0.001409129677012645,0.0028141894393838404,0.0014090774250964107
205,36,34499,26533,36,1.0,0.0013568009648362417,0.0027099251006812456,0.0013568009648362417
166,130,64600,53551,70,0.5384615384615384,0.0013071651323037852,0.002607999105828878,0.0013057021879838092
206,33,34499,26533,33,1.0,0.0012437342177665548,0.002484378528946774,0.0012437342177665548
207,33,34499,26533,32,0.9696969696969697,0.0012060453020766592,0.002409094331099902,0.0012059998492500187
223,17,3876,8194,9,0.5294117647058824,0.001098364657066146,0.0021921812203142127,0.0010972933430870519
219,22,13666,11118,11,0.5,0.0009893865803202015,0.0019748653500897668,0.0009884086620540928
218,23,34499,26533,23,1.0,0.0008668450608675988,0.0017321885826178643,0.0008668450608675988
157,154,27209,44437,37,0.24025974025974026,0.0008326394671107411,0.0016595277073848985,0.000830452933518876
221,19,4464,20331,16,0.8421052631578947,0.0007869755545718361,0.0015724815724815725,0.0007868594472312384
222,19,4464,20331,15,0.7894736842105263,0.0007377895824110963,0.0014742014742014742,0.0007376444553725104
220,21,27465,29110,21,1.0,0.0007214015802129852,0.0014417630702687856,0.0007214015802129852
177,83,64600,53551,37,0.4457831325301205,0.0006909301413605722,0.0013797218182496178,0.0006903371457357688
224,17,14934,19390,11,0.6470588235294118,0.0005673027333677153,0.001133611583449271,0.0005671272427304599
216,26,34499,26533,14,0.5384615384615384,0.0005276448196585384,0.0010542565608644904,0.0005274062912036165
214,28,64600,53551,28,1.0,0.000522866052921514,0.0010451856137665876,0.000522866052921514
199,46,64600,53551,26,0.5652173913043478,0.0004855184777128345,0.0009702035561691886,0.0004853372160310616
225,14,27465,29110,14,1.0,0.0004809343868086568,0.0009614064002197501,0.0004809343868086568
227,11,34499,26533,11,1.0,0.0004145780725888516,0.0008288125376732972,0.0004145780725888516
226,14,64600,53551,14,1.0,0.000261433026460757,0.0005227293941939699,0.000261433026460757
