GT_Community,GT_Size,Best_Louvain,Louvain_Size,Intersection,Precision,Recall,F1,Jaccard
214,9,29,3324,6,0.0018050541516245488,0.6666666666666666,0.0036003600360036006,0.0018034265103697023
215,10,36,2914,9,0.0030885380919698007,0.9,0.006155950752393981,0.0030874785591766723
216,8,36,2914,7,0.0024021962937542897,0.875,0.004791238877481177,0.0024013722126929675
217,13,37,2781,13,0.004674577490111471,1.0,0.009305654974946313,0.004674577490111471
218,44,62,1643,26,0.01582471089470481,0.5909090909090909,0.03082394783639597,0.015653220951234198
219,4,34,2994,4,0.0013360053440213762,1.0,0.0026684456304202804,0.0013360053440213762
220,3,96,870,2,0.0022988505747126436,0.6666666666666666,0.004581901489117983,0.002296211251435132
221,9,4,8839,9,0.0010182147301730966,1.0,0.002034358047016275,0.0010182147301730966
222,4,63,1589,4,0.0025173064820641915,1.0,0.005021971123666038,0.0025173064820641915
223,3,42,2413,3,0.0012432656444260257,1.0,0.002483443708609271,0.0012432656444260257
224,5,88,977,5,0.00511770726714432,1.0,0.010183299389002039,0.00511770726714432
225,3,88,977,3,0.0030706243602865915,1.0,0.006122448979591837,0.0030706243602865915
226,11,54,1939,10,0.005157297576070139,0.9090909090909091,0.010256410256410256,0.005154639175257732
227,4,37,2781,4,0.001438331535418914,1.0,0.0028725314183123875,0.001438331535418914
228,4,46,2198,4,0.0018198362147406734,1.0,0.003633060853769301,0.0018198362147406734
229,3,181,75,3,0.04,1.0,0.07692307692307693,0.04
230,3,3,10990,3,0.000272975432211101,1.0,0.0005458018739197671,0.000272975432211101
231,6,3,10990,6,0.000545950864422202,1.0,0.0010913059294288833,0.000545950864422202
232,5,37,2781,4,0.001438331535418914,0.8,0.002871500358937545,0.0014378145219266715
233,4,0,12666,4,0.00031580609505763463,1.0,0.0006314127861089188,0.00031580609505763463
234,5,0,12666,5,0.0003947576188220433,1.0,0.0007892036934732855,0.0003947576188220433
235,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
236,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
237,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
238,27,38,2731,17,0.006224826071036251,0.6296296296296297,0.012327773749093548,0.006202116016052536
